ano;id_municipio;vab_agropecuaria;vab_industria;vab_servicos;vab_adm_publica;vab_total;pib;pib_per_capita;atividade_1;atividade_2;atividade_3
2015;2929206;12063.119;3971087.429;2736345.969;359653.866;7079150.383;8643549.997;219775.48;INDÚSTRIAS DE TRANSFORMAÇÃO;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3103751;15107.108;1070975.845;188875.673;44085.961;1319044.587;1362974.987;204743.13;ELETRICIDADE E GÁS, ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;DEMAIS SERVIÇOS;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2015;3125101;7135.096;1196619.138;2483278.427;156057.107;3843089.767;5086204.631;153745.38;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO
2015;3161908;7643.234;1197270.806;427935.549;120769.768;1753619.358;1793478.251;169387.82;INDÚSTRIAS EXTRATIVAS;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3202801;65807.345;3222603.079;1038253.667;262333.012;4588997.103;4666049.231;136147.56;INDÚSTRIAS EXTRATIVAS;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3204302;38374.41;4419008.759;1195906.862;98265.682;5751555.713;5803122.986;513142.01;INDÚSTRIAS EXTRATIVAS;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3304110;5207.494;890936.509;768632.684;189988.594;1854765.28;2804596.587;153541.91;INDÚSTRIAS DE TRANSFORMAÇÃO;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3305000;47131.268;4206978.497;2330628.211;396878.467;6981616.442;7310408.035;211387.33;INDÚSTRIAS EXTRATIVAS;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3505708;248.966;4352197.454;28707729.252;1764811.53;34824987.203;47761024.678;182102.85;DEMAIS SERVIÇOS;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;INDÚSTRIAS DE TRANSFORMAÇÃO
2015;3507753;7353.372;563665.858;62585.505;16265.02;649869.755;673340.674;243258.91;INDÚSTRIAS DE TRANSFORMAÇÃO;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3509205;166.256;1751406.544;6634024.315;350429.399;8736026.514;11288059.886;157204.37;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO
2015;3516853;9919.1;417857.375;180057.126;25852.078;633685.678;753536.525;160737.31;INDÚSTRIAS DE TRANSFORMAÇÃO;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3520400;3542.817;4946270.934;2067770.729;172224.777;7189809.257;7266197.735;225679.34;INDÚSTRIAS EXTRATIVAS;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3520426;2987.596;1253799.373;506517.412;80698.257;1844002.638;1861022.255;180839.79;INDÚSTRIAS EXTRATIVAS;DEMAIS SERVIÇOS;ADMINISTRAÇÃO, DEFESA, EDUCAÇÃO E SAÚDE PÚBLICAS E SEGURIDADE SOCIAL
2015;3524709;12246.455;1974505.423;4362837.189;239060.589;6588649.656;8891753.491;171301.63;DEMAIS SERVIÇOS;INDÚSTRIAS DE TRANSFORMAÇÃO;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
